BGD+MSE:
BGD(0/49): loss=17961.806569775166, w=5.90699227052506, b=32.85470285432571
BGD(1/49): loss=11542.948886394766, w=10.635961511099694, b=59.138465137786284
BGD(2/49): loss=7434.69582809436, w=14.42183917169687, b=80.16547496455473
BGD(3/49): loss=4805.29585216489, w=17.452704658837813, b=96.98708282596951
BGD(4/49): loss=3122.404227713747, w=19.87912897168607, b=110.44436911510132
BGD(5/49): loss=2045.305109375855, w=21.82165495014345, b=121.21019814640677
BGD(6/49): loss=1355.9306029393383, w=23.376785747754187, b=129.82286137145113
BGD(7/49): loss=914.7110051541542, w=24.62177903201284, b=136.71299195148663
BGD(8/49): loss=632.3176996122339, w=25.618485084153622, b=142.22509641551503
BGD(9/49): loss=451.57780409822897, w=26.416419472181758, b=146.63477998673773
BGD(10/49): loss=335.8990283087746, w=27.05522294511171, b=150.16252684371588
BGD(11/49): loss=261.8612517058075, w=27.56663075401163, b=152.98472432929842
BGD(12/49): loss=214.47492114418378, w=27.976049234165224, b=155.24248231776446
BGD(13/49): loss=184.1462893522308, w=28.30381797170533, b=157.04868870853727
BGD(14/49): loss=164.73508039419437, w=28.566220258158868, b=158.49365382115553
BGD(15/49): loss=152.31133970081564, w=28.776292031485383, b=159.64962591125013
BGD(16/49): loss=144.3597822839535, w=28.944469491159925, b=160.57440358332582
BGD(17/49): loss=139.27055264603257, w=29.079107560305086, b=161.31422572098637
BGD(18/49): loss=136.01329641443547, w=29.18689495166073, b=161.9060834311148
BGD(19/49): loss=133.92855676116554, w=29.2731864575403, b=162.37956959921755
BGD(20/49): loss=132.59426206994567, w=29.342268971675892, b=162.75835853369975
BGD(21/49): loss=131.74027417108596, w=29.39757445870673, b=163.0613896812855
BGD(22/49): loss=131.193696730128, w=29.44185045146684, b=163.30381459935413
BGD(23/49): loss=130.84387102603978, w=29.477296546242226, b=163.497754533809
BGD(24/49): loss=130.6199722298596, w=29.50567367697383, b=163.65290648137292
BGD(25/49): loss=130.47667036968136, w=29.52839159706239, b=163.77702803942404
BGD(26/49): loss=130.38495292950412, w=29.546578914801863, b=163.87632528586494
BGD(27/49): loss=130.3262510441195, w=29.561139161746432, b=163.95576308301767
BGD(28/49): loss=130.28868009183265, w=29.5727956794432, b=164.01931332073985
BGD(29/49): loss=130.26463356356248, w=29.58212755446787, b=164.0701535109176
BGD(30/49): loss=130.24924306841007, w=29.58959838698762, b=164.11082566305979
BGD(31/49): loss=130.2393926919386, w=29.595579322050575, b=164.14336338477355
BGD(32/49): loss=130.2330881564492, w=29.60036748777812, b=164.16939356214456
BGD(33/49): loss=130.22905306495613, w=29.60420075645485, b=164.19021770404137
BGD(34/49): loss=130.22647048540875, w=29.607269561835484, b=164.2068770175588
BGD(35/49): loss=130.224817556953, w=29.609726359743064, b=164.22020446837277
BGD(36/49): loss=130.2237596330414, w=29.611693201953646, b=164.23086642902393
BGD(37/49): loss=130.2230825298845, w=29.613267799631945, b=164.23939599754485
BGD(38/49): loss=130.22264916344875, w=29.614528377544687, b=164.2462196523616
BGD(39/49): loss=130.2223717958454, w=29.615537560205116, b=164.25167857621497
BGD(40/49): loss=130.22219427219318, w=29.616345483009265, b=164.2560457152977
BGD(41/49): loss=130.22208065168104, w=29.61699228292276, b=164.25953942656386
BGD(42/49): loss=130.22200793110852, w=29.617510092453504, b=164.2623343955768
BGD(43/49): loss=130.22196138773432, w=29.61792463596926, b=164.26457037078714
BGD(44/49): loss=130.22193159855982, w=29.618256507663876, b=164.26635915095542
BGD(45/49): loss=130.22191253258129, w=29.618522194660535, b=164.26779017509006
BGD(46/49): loss=130.22190032977375, w=29.618734896079005, b=164.26893499439777
BGD(47/49): loss=130.2218925196044, w=29.618905178757448, b=164.26985084984392
BGD(48/49): loss=130.22188752085728, w=29.61904150220459, b=164.27058353420085
BGD(49/49): loss=130.22188432150608, w=29.619150638861417, b=164.2711696816864
Learn: execution time=0.003 seconds
R2: 0.8344784869172093
MSE: 168.19429268864795
RMSE: 12.968974234250291
MAE: 10.724647364931295
PSO+MSE:
PSO(0/49): loss=1029.0641678148288, w=45.784275617900974, b=135.97471777070132
PSO(1/49): loss=171.96101872535192, w=35.24395323380418, b=163.15474896660925
PSO(2/49): loss=171.96101872535192, w=35.24395323380418, b=163.15474896660925
PSO(3/49): loss=149.63506931149206, w=32.68168627134594, b=160.74648366539074
